author,affiliations
"Name(first='Yuxuan', last='Gu')",Harbin Institute Of Technology
"Name(first='Weijiang', last='Yu')",Unknown
"Name(first='Haotian', last='Wang')",Harbin Institute Of Technology
"Name(first='Qianglong', last='Chen')",Unknown
"Name(first='Zheng', last='Chu')",Harbin Institute Of Technology
"Name(first='Jingchang', last='Chen')",Unknown
"Name(first='Bing', last='Qin')",Harbin Institute Of Technology
"Name(first='Zhengping', last='Jiang')",Johns Hopkins University
"Name(first='Yining', last='Lu')",University of Notre Dame
"Name(first='Hanjie', last='Chen')",Rice University
"Name(first='Daniel', last='Khashabi')",Johns Hopkins University
"Name(first='Benjamin', last='Van Durme')","Johns Hopkins University, Johns Hopkins University and Microsoft"
"Name(first='Anqi', last='Liu')","Johns Hopkins University, California Institute of Technology and University of Illinois, Chicago"
"Name(first='Cheng', last='Qian')",Unknown
"Name(first='Bingxiang', last='He')",Tsinghua University
"Name(first='Zhong', last='Zhuang')",Unknown
"Name(first='Jia', last='Deng')",Unknown
"Name(first='Yujia', last='Qin')",Unknown
"Name(first='Xin', last='Cong')",Unknown; Tsinghua University
"Name(first='Zhong', last='Zhang')",Tsinghua University
"Name(first='Yankai', last='Lin')",Renmin University of China
"Name(first='Zhiyuan', last='Liu')",Tsinghua University; National University of Singapore
"Name(first='Maosong', last='Sun')",Unknown; Tsinghua University
"Name(first='Zeyuan', last='Wang')",Unknown
"Name(first='Qiang', last='Zhang')",Zhejiang University
"Name(first='Keyan', last='Ding')",Zhejiang University
"Name(first='Ming', last='Qin')",Unknown
"Name(first='Xiang', last='Zhuang')",Unknown
"Name(first='Xiaotong', last='Li')",Zhejiang University
"Name(first='Huajun', last='Chen')",Zhejiang University
"Name(first='Aparna', last='Elangovan')",Amazon
"Name(first='Ling', last='Liu')",Amazon
"Name(first='Lei', last='Xu')",Amazon
"Name(first='Sravan Babu', last='Bodapati')","Amazon, Amazon and Amazon"
"Name(first='Dan', last='Roth')",University of Pennsylvania
"Name(first='Jingxuan', last='Tu')",Unknown
"Name(first='Keer', last='Xu')",Unknown
"Name(first='Liulu', last='Yue')",Unknown
"Name(first='Bingyang', last='Ye')",Brandeis University
"Name(first='Kyeongmin', last='Rim')",Unknown
"Name(first='James', last='Pustejovsky')",Brandeis University
"Name(first='Tao', last='He')",Harbin Institute Of Technology
"Name(first='Weihua', last='Peng')",Unknown
"Name(first='Ming', last='Liu')",Harbin Institute Of Technology; Unknown; Deakin University
"Name(first='Ting', last='Liu')",Harbin Institute Of Technology
"Name(first='Siyu', last='Yuan')",Unknown
"Name(first='Jiangjie', last='Chen')",ByteDance Inc.
"Name(first='Changzhi', last='Sun')",Unknown
"Name(first='Jiaqing', last='Liang')",Fudan University
"Name(first='Yanghua', last='Xiao')",Fudan University
"Name(first='Deqing', last='Yang')",Fudan University
"Name(first='Yujie', last='Feng')",Hong Kong Polytechnic University
"Name(first='Xu', last='Chu')",Unknown
"Name(first='Yongxin', last='Xu')",Unknown
"Name(first='Guangyuan', last='Shi')",Unknown
"Name(first='Bo', last='Liu')",Unknown
"Name(first='Xiao-Ming', last='Wu')",Hong Kong Polytechnic University
"Name(first='Damai', last='Dai')",Unknown
"Name(first='Chengqi', last='Deng')",Unknown
"Name(first='Chenggang', last='Zhao')",Tsinghua University
"Name(first='R.x.', last='Xu')",Unknown
"Name(first='Huazuo', last='Gao')",Unknown
"Name(first='Deli', last='Chen')",DeepSeek AI
"Name(first='Jiashi', last='Li')",Unknown
"Name(first='Wangding', last='Zeng')",Unknown
"Name(first='Xingkai', last='Yu')",Unknown
"Name(first='Y.', last='Wu')",DeepSeek
"Name(first='Zhenda', last='Xie')",DeepSeek AI
"Name(first='Y.k.', last='Li')",Unknown
"Name(first='Panpan', last='Huang')",DeepSeek and High-flyer
"Name(first='Fuli', last='Luo')",DeepSeek
"Name(first='Chong', last='Ruan')",Unknown
"Name(first='Zhifang', last='Sui')",Peking University
"Name(first='Wenfeng', last='Liang')",Unknown
"Name(first='Hongjin', last='Qian')",Unknown
"Name(first='Zheng', last='Liu')",Unknown
"Name(first='Kelong', last='Mao')",Unknown
"Name(first='Yujia', last='Zhou')",Tsinghua University
"Name(first='Zhicheng', last='Dou')",Renmin University of China
"Name(first='Jiaxin', last='Bai')",The Hong Kong University of Science and Technology
"Name(first='Yicheng', last='Wang')",Unknown
"Name(first='Tianshi', last='Zheng')",The Hong Kong University of Science and Technology
"Name(first='Yue', last='Guo')",Hong Kong University of Science and Technology
"Name(first='Shizhe', last='Diao')",Hong Kong University of Science and Technology
"Name(first='Pengcheng', last='Wang')",Unknown
"Name(first='Yong', last='Lin')",Unknown
"Name(first='Rui', last='Pan')",The Hong Kong University of Science and Technology
"Name(first='Xiang', last='Liu')",Unknown
"Name(first='Tong', last='Zhang')",UIUC; Unknown
"Name(first='Xiangyu', last='Zhao')",Unknown
"Name(first='Qijiong', last='Liu')",Unknown
"Name(first='Haochen', last='Li')",Nanyang Technological University
"Name(first='Xin', last='Zhou')",Unknown; Nanyang Technological University
"Name(first='Zhiqi', last='Shen')","School of Computer Science and Engineering, Nanyang Technological University"
"Name(first='Naomi', last='Baes')",Unknown
"Name(first='Nick', last='Haslam')",Unknown
"Name(first='Ekaterina', last='Vylomova')",The University of Melbourne
"Name(first='Jianheng', last='Huang')",Unknown
"Name(first='Ante', last='Wang')",Unknown
"Name(first='Chengyi', last='Yang')",Unknown
"Name(first='Xinting', last='Liao')",Unknown
"Name(first='Linfeng', last='Song')",Unknown
"Name(first='Junfeng', last='Yao')",Xiamen University
"Name(first='Jinsong', last='Su')",Xiamen University
"Name(first='Baizhou', last='Huang')",Unknown
"Name(first='Shuai', last='Lu')",Microsoft
"Name(first='Xiaojun', last='Wan')",Peking University
"Name(first='Nan', last='Duan')",Microsoft Research Asia
"Name(first='Weitao', last='Li')",Unknown
"Name(first='Junkai', last='Li')",Unknown
"Name(first='Weizhi', last='Ma')",Tsinghua University
