author_id,author_name,affiliation,pqi_score,anci_score,accel_score,h_index,citations
3350685,Neelamadhav Gantayat,Unknown,2.48,1.2,0.0,8,166
33516663,Hiroki Ouchi,Unknown,2.34,2.73,-0.21,12,523
3351773,Mark Wasson,Unknown,2.65,17.95,0.26,4,117
3351915,Liane Guillou,Unknown,1.91,1.98,1.08,12,563
3351938,Hyung Chung,Unknown,2.7,10.17,1.89,35,19520
3351977,Aseem Rastogi,Unknown,1.42,2.5,0.41,23,3078
3352185,Nicolas Schrading,Unknown,2.72,3.51,0.0,2,93
33524946,Jieyu Zhao,USC,2.63,17.96,0.02,14,4395
33526129,Wiebke Brockhaus,Unknown,1.81,0.09,0.0,4,111
3352943,Don Agravante,Unknown,1.78,0.75,0.0,9,431
3352951,Aurélie Herbelot,Unknown,2.5,5.25,-0.09,15,771
3353344,Victor Dibia,Unknown,1.55,14.78,0.44,9,474
3353642,Cem Akkaya,Unknown,2.95,8.03,-0.31,8,450
33542023,Kenneth Man-kam Yip,Unknown,2.53,3.28,0.0,14,640
33542690,Shuheng Zhou,Unknown,0.73,0.58,0.0,20,2123
3354337,Jun-Ping Ng,Unknown,2.91,13.6,0.0,9,405
33544449,Sho Takase,Unknown,1.93,3.37,-0.11,15,862
33546336,Dheeru Dua,Unknown,2.26,7.37,-0.04,11,2335
3355320,Michel Ehrenhard,Unknown,2.33,0.6,0.0,14,979
3355375,Muthusamy Chelliah,Unknown,1.11,0.31,1.45,7,137
3355833,Liyuan Liu,Unknown,2.5,1.7,-0.37,27,5123
33558700,Cecile Pereira,Unknown,2.19,1.8,0.0,9,658
3355952,Hoda Eldardiry,Virginia Tech,1.85,0.87,0.0,15,873
33559727,Pamela Bhattacharya,Unknown,2.15,0.51,0.0,11,905
3356545,Lonneke Plas,Idiap research institute,1.93,1.24,0.0,17,966
3356796,Nobuo Inui,Unknown,1.28,0.0,0.0,3,47
3357184,Tongtong Wu,Unknown,1.6,0.63,0.71,16,733
3357473,Katrin Tomanek,Unknown,2.19,2.67,0.59,24,1834
3357859,Thanh Hai Dang,Unknown,2.44,0.88,0.0,8,311
3358418,Mingyang Song,Unknown,1.72,2.65,0.59,67,18927
3358452,Halil Kilicoglu,Unknown,1.45,0.65,0.0,28,3043
3358500,Yunlong Jiao,Unknown,1.73,1.3,0.0,7,304
3358706,Nikola Ljubesic,Unknown,2.54,4.45,0.26,31,4141
3358971,Ashwin Vijayakumar,Unknown,2.55,2.44,-0.21,4,886
3359236,Mikhail Burtsev,Unknown,2.17,2.23,1.29,18,1952
3359291,Christian Federmann,Unknown,1.7,1.3,0.91,31,7089
3359378,Helena Caseli,Unknown,1.37,0.96,0.0,11,543
3359924,Garrett Honke,Unknown,3.16,16.8,0.71,7,303
3360115,Frank Kanayet,Unknown,1.42,0.0,0.0,6,6274
3360135,Alvaro Herrasti,Unknown,2.16,0.14,0.0,9,1943
33603226,Yong Zhang,Tsinghua University,2.25,1.66,0.59,32,3367
3360572,Peihao Wu,Unknown,0.87,0.56,0.44,6,130
3360632,Keyulu Xu,Unknown,2.86,4.76,-0.21,14,10986
33607216,Dane Bell,Unknown,0.65,0.0,0.0,8,309
3360722,Ruobing Xie,Unknown,2.17,2.05,0.96,36,5941
33607330,Mingkun Gao,Unknown,2.49,1.47,-0.21,7,138
3360830,Xiaomin Chu,Unknown,1.43,0.94,0.0,7,145
3360992,Cristina Garbacea,Unknown,2.35,1.89,0.44,9,2450
33611948,David D. Palmer,Unknown,2.83,12.1,0.0,14,846
3361229,Jonghwan Hyeon,Unknown,0.74,0.44,1.0,7,136
3361236,Baptiste Rozière,Unknown,1.88,0.45,1.65,20,17443
3361240,Manling Li,University of Illinois at Urbana-Champaign,2.46,4.64,-0.38,10,628
3361431,Tolga Buz,Unknown,0.54,0.18,0.0,3,35
3361477,Avi Shmidman,Unknown,1.04,0.72,0.0,7,154
33614955,Shu-Ting Pi,Unknown,1.01,0.0,0.0,8,201
33621471,Paula Fortuna,Unknown,2.44,1.75,0.0,10,1606
33623312,Peng Zhang,Unknown,1.61,0.0,0.0,21,1695
3362367,Khalid Alnajjar,University of Helsinki,2.36,2.08,0.0,9,194
3362443,Vera Tobin,Unknown,2.26,1.35,0.41,9,224
3362496,Qinghan Xue,Unknown,0.99,0.52,0.0,6,129
33626762,Juanita Ordoñez,Unknown,2.87,4.02,0.71,4,117
3362754,Gregory Spell,Unknown,2.2,0.61,0.0,6,209
3363069,Portia Botchway,Unknown,0.66,0.2,0.0,7,224
3363139,Ondrej Bajgar,Unknown,3.34,24.82,0.0,6,642
3363288,Kechen Qin,Unknown,2.28,1.71,-0.42,6,136
3363380,Apurv Verma,"NJIT, Bloomberg, Amazon, Georgia Institute of Technology",2.07,1.31,0.44,7,251
3363593,Xiyou Zhou,Fudan University,1.56,3.85,-0.21,6,2078
3363642,Jiaming Shen,Google DeepMind;University of Illinoist at Urbana-Champaign,2.2,3.34,2.23,23,2386
