author_id,author_name,coauthor_average_h_index
1706916,Philippe Langlais,2.26
1706956,Yung-Chun Chang,1.67
1706980,Rahma Chaabouni,0.34
1707117,Radu Florian,3.61
1707242,Minh-Thang Luong,6.68
1707259,Joyce Chai,3.47
1707275,Zhoujun Li,4.38
1707285,Raghu Machiraju,4.2
1707342,John G. Breslin,10.0
1707625,Bernhard Scholkopf,4.07
1707651,Jakob Grue Simonsen,4.0
1707726,James Pustejovsky,2.46
1707732,Eyal Kolman,0.33
1707801,Brad A. Myers,5.5
1707857,Mans Hulden,1.31
1707899,Jihong Guan,1.0
1707937,Binyang Li,2.47
1708079,Yuichiroh Matsubayashi,2.23
1708106,Karsten Worm,1.5
1708114,Katrin Erk,3.35
1708288,Iris Hendrickx,0.25
1708312,Christoph Meinel,1.0
1708367,C. Nattee,0.33
1708419,Xiapu Luo,1.0
1708538,Mickael Rouvier,1.38
1708551,Ellad B. Tadmor,0.0
1708581,Sebastian Padó,3.12
1708593,Laks Lakshmanan,2.75
1708708,Geert-Jan Kruijff,6.0
1708801,Pavel Serdyukov,5.71
1708916,Sampo Pyysalo,2.19
1709062,Key-Sun Choi,0.33
1709263,Dongryeol Lee,2.75
1709537,Dong Xuan,1.0
1709595,Jingren Zhou,4.04
1709719,Xiaolong Wang,2.53
1709722,Brian Sadler,4.67
1709723,Megumi Kameyama,2.0
1709797,Asli Celikyilmaz,4.14
1709830,Toon Calders,2.33
1709901,Ee-Peng Lim,3.38
1710199,Hsin-Min Wang,0.83
1710219,Ravi Kumar Satzoda,0.75
1710287,Alexandros Papangelis,3.8
1710432,Timothy Havens,0.0
1710483,Ramiya Venkatachalam,0.79
1710568,Pooyan Fazli,0.0
1710580,Adam Berger,1.33
1710604,Roland Memisevic,10.67
1710630,Alessandro Bozzon,1.0
1710637,Yael Amsterdamer,5.91
1710713,Marco Matassoni,2.12
1710717,Bai Li,0.93
1710801,Petya Osenova,6.33
1710861,Yukun Li,8.4
1710917,Lakshminarayanan Subramanian,1.0
1711133,Alfio Gliozzo,2.82
1711213,Ramakanth Kavuluru,0.4
1711271,Haizhou Li,2.0
1711569,Tun Lu,0.1
1711712,Yassine Mrabet,1.25
1711719,M. Keulen,0.0
1711777,Cynthia Breazeal,3.33
1711819,N. Moubayed,2.0
1711959,Gabriel Skantze,1.0
1711973,Anoop Kunchukuttan,2.09
1711977,Idan Szpektor,2.96
1711993,Wolfgang Seeker,1.0
1712010,K. Brent Venable,0.5
1712022,William J. Rapaport,4.0
1712027,Paolo Garza,0.5
1712107,A. Ngomo,3.0
1712167,Wei-Ying Ma,6.5
1712260,Tomoyasu Nakano,2.2
1712352,Bernardo Magnini,4.46
1712392,Pu-Jen Cheng,0.0
1712417,Olga Vechtomova,4.53
1712479,Mohamed Elhoseiny,0.92
1712576,Nick Barnes,2.33
1712592,Hanna Suominen,0.29
1712626,Cungen Cao,1.4
1712630,Carlo Zaniolo,3.2
1712865,Kush Varshney,1.22
1712908,Pavel Brazdil,3.16
1713084,Siyuan Huang,2.83
1713121,Kenneth Forbus,5.09
1713128,Quan Sheng,1.0
1713134,Evangelos Kanoulas,1.31
1713140,Michael Kohlhase,4.5
1713395,Sara Stymne,4.0
1713428,Sanda Harabagiu,1.73
1713436,Pouya Pezeshkpour,3.79
1713476,Michael C. McCord,1.0
1713574,Bran Boguraev,2.4
1713580,Hrafn Loftsson,0.67
1713615,Ulli Waltinger,4.0
1713664,Ira Assent,1.5
1713801,Anoop Deoras,1.25
1713802,Xiaozhong Liu,2.86
1713934,Antoine Bordes,6.61
1713978,David Nahamoo,0.5
1714061,Vijay Saraswat,5.22
1714075,Işıl Dillig,7.67
1714087,Takeshi Furuhashi,1.0
1714134,Hitoshi Isahara,0.89
1714166,Tim Weninger,2.08
1714215,Karl Stratos,3.88
1714314,George K. Kokkinakis,0.0
1714320,Oliviero Stock,1.0
1714374,Aravind K. Joshi,2.64
1714393,R. Mori,0.2
1714410,Wenjing Jia,1.0
1714514,R. Calvo,0.75
1714589,Haïfa Zargayouna,1.0
1714612,Satoshi Sekine,2.43
1714893,Laurent Romary,0.5
1714907,Di Niu,1.17
1714932,Zornitsa Kozareva,5.95
1714982,Licheng Yu,7.0
1715020,Elke Rundensteiner,0.25
1715074,Kosho Shudo,0.0
1715145,Chencheng Ye,2.0
1715208,Joachim Niehren,1.9
1715282,Yusuke Iwasawa,1.0
1715610,Qi Wu,3.25
1715783,Marc Pouly,0.0
1715839,Bao-Liang Lu,6.0
1715851,Peerapon Vateekul,0.64
1715858,Jivko Sinapov,0.0
1715959,Stefano Soatto,2.5
1715983,Oier Lacalle,4.42
1716310,Enver Sangineto,2.0
1716325,Maxine Eskénazi,3.0
1716393,Philip Woodland,0.5
1716404,Dmitri Roussinov,1.0
1716415,Seung-won Hwang,3.0
1716440,Roger Wattenhofer,1.67
1716735,Mark Stickel,1.33
1716763,Heinz Koeppl,2.88
1716799,Masaru Kitsuregawa,5.07
1716836,Winston Hsu,1.0
1716857,Junichi Yamagishi,1.5
1716902,Marti Hearst,2.72
1716907,William Byrne,3.0
1716963,Jonas Kuhn,2.27
1717004,Xueqi Cheng,2.76
1717038,Christian Jacquemin,1.0
1717056,Marcel Worring,3.0
1717098,Michael Mahoney,1.67
1717105,Tatsuya Kawahara,0.8
1717283,Abolfazl Asudeh,0.0
1717452,Burr Settles,1.33
1717480,Shuai Wang,4.1
1717530,Yigal Arens,1.0
1717560,Manfred Pinkal,2.22
1717624,Anselmo Peñas,1.0
1717629,Yansong Feng,3.64
1717641,Mohammad Pilehvar,2.11
1717822,Lyle Ungar,2.09
1717830,Zhijian Ou,3.0
1717861,Yu-Gang Jiang,9.33
1717915,Héctor Allende,1.0
1717955,James Lester,2.0
1718158,Yukiko Nakano,1.0
1718192,Xiaodan Song,5.0
1718246,Sandra Aluísio,0.36
1718376,Jiqing Han,0.0
1718428,Jiawei Zhang,5.33
1718462,Katunobu Itou,1.0
1718467,Mudhakar Srivatsa,5.0
1718469,Alex Dimakis,5.5
1718481,Vlad Schogol,1.0
1718590,Robert Gaizauskas,1.15
1718611,Lidia Mangu,4.67
1718670,Richard C. Waters,4.0
1718694,Yunyao Li,2.68
1718725,Arto Klami,1.5
1718798,Evgeniy Gabrilovich,3.57
1718878,Emmanuel Dellandréa,1.8
1718879,Nut Limsopatham,4.0
1719068,Anoop Katti,1.0
1719124,Saleema Amershi,0.81
1719165,Giorgos Stamou,1.0
1719207,Takehisa Yairi,0.0
1719299,Boaz Carmeli,1.86
1719314,Philip O. Ogunbona,1.0
1719346,Mikko Kurimo,0.33
1719347,Barnabas Póczos,7.0
1719404,Alessandro Moschitti,3.38
1719541,Ramani Duraiswami,1.89
1719822,Kris Demuynck,1.67
1719898,G. Steeg,1.92
1719916,Donghong Ji,3.0
1719955,Reid Simmons,1.0
1719992,Juntao Liu,2.0
1720067,Anbang Xu,3.0
1720084,Vivek Seshadri,2.67
1720246,Jianshu Chen,7.24
1720266,Wolf-Tilo Balke,0.0
1720285,Fausto Giunchiglia,0.22
1720488,Zhongfei Zhang,0.67
1720494,Eunho Yang,0.6
1720664,Pierre-Yves Oudeyer,0.93
1720717,Joan Bachenko,0.0
1720794,Shinsaku Kiyomoto,0.71
1720857,B. Ramabhadran,1.47
1720971,Martin Rinard,11.5
1720974,Pratik Jawanpuria,0.0
1720988,Joakim Nivre,4.42
1721029,Xiaojie Yuan,1.0
1721059,Davide Buscaldi,1.0
1721094,Y. Gal,0.0
1721158,Dejing Dou,1.39
1721165,Zhumin Chen,1.6
1721168,Niket Tandon,6.64
1721253,Sylvain Delisle,0.0
1721295,Ehsan Nezhadarya,0.0
1721329,Qin Jin,2.0
1721340,Francisco Couto,1.0
1721354,Olivier Pietquin,1.37
1721364,Sina Zarrieß,0.94
1721391,Hirokazu Anai,1.5
1721493,Swetasudha Panda,1.5
1721801,Christiane Fellbaum,7.25
1721812,Christian Borgs,2.22
1721948,Steve Skiena,2.6
1722015,Patrick Riehmann,1.62
1722225,Géraldine Damnati,1.33
1722299,Charles Chen,4.0
1722360,Hal Daumé,3.19
1722434,Yoav Katz,2.86
1722590,Advaith Siddharthan,3.0
1722671,Santiago Ontañón,3.69
1722831,Charles Elkan,2.0
1722870,Zeev Waks,0.0
1722889,Roshan Sumbaly,0.91
1723018,Tushar Sandhan,1.5
1723019,Lan Du,1.43
1723120,Kemal Oflazer,1.25
1723161,Christian Chiarcos,1.0
1723169,Ilhan Aslan,0.0
1723233,Rogerio Feris,3.4
1723288,João Neto,6.25
1723339,Avihai Mejer,1.5
1723357,Hwanjo Yu,1.85
1723404,Nitin Madnani,1.89
1723468,Seung-Hoon Na,2.0
1723503,Daniele Falavigna,3.0
1723632,Balaraman Ravindran,4.0
1723641,Márk Jelasity,0.95
1723644,Alex Acero,3.0
1723649,Kalina Bontcheva,4.27
1723703,Margrit Betke,1.05
1723745,Raymond Chi-Wing Wong,0.2
1723945,Vitaly Shmatikov,4.0
1723948,Hema Swetha Koppula,0.0
1723976,Carlo Strapparava,2.36
1724027,Edward Curry,1.0
1724097,Ruifang He,1.6
1724176,Michael Rovatsos,1.5
1724351,Richard Tsai,0.0
1724393,Heng Shen,2.2
1724421,Deng Cai,3.48
1724463,Fabian Flöck,1.5
1724548,Areeb Alowisheq,2.11
1724629,Marius Pasca,3.0
1724731,Sue Felshin,0.85
1724788,Przemyslaw Kazienko,1.34
1724850,Daniel Liebling,0.0
1724972,Alexander Waibel,1.72
1725171,Collin McMillan,1.0
1725420,Frédéric Béchet,1.4
1725498,Lazaros Polymenakos,2.86
1725500,Yves Schabes,5.0
1725544,Tetsuya Sakai,2.5
1725551,Chris Mattmann,4.33
1725561,Michael Cafarella,1.0
1725615,Katashi Nagao,1.0
1725643,Yun-Nung Chen,3.5
1725656,Serena Villata,1.28
1725992,Deyu Zhou,1.44
1726237,Damir Juric,1.86
1726297,Eric Kow,2.67
1726302,Xiaomin Zhu,0.14
1726355,Sriram Ganapathy,2.88
1726415,Alexander Toshev,1.89
1726437,Kyriakos N. Sgarbas,0.0
1726492,Amarnag Subramanya,4.0
1726527,Nikos D. Fakotakis,0.0
1726559,Tomoki Toda,6.8
1726601,Rebecca Hwa,1.57
1726720,Robby Tan,0.8
1726728,Masatoshi Tsuchiya,1.0
1726791,Manuel Bodirsky,4.0
1726847,Maria Bieliková,1.9
1726978,Stefano Mizzaro,0.33
1727051,Yoshihiro Sekiguchi,1.0
1727058,Thomas Runkler,2.6
1727198,H. Hamme,0.5
1727211,Jonathan Kummerfeld,2.63
1727272,Stefan Thater,3.38
1727382,Jianjun Xu,1.33
1727524,M. Seltzer,1.47
1727527,Johannes Hoffart,1.5
1727535,Yosi Mass,2.68
1727547,Ryuichiro Higashinaka,0.6
1727680,Alan Biermann,0.14
1727801,Kenneth Laws,1.25
1727837,Enrique Alfonseca,2.56
1727887,Eirini Spyropoulou,4.67
1728004,Jingbo Zhu,2.34
1728026,Luís Marujo,4.33
1728050,Jong-Hyeok Lee,0.67
1728269,Markus Egg,1.33
1728556,Asmelash Hadgu,0.0
1728602,Susan Dumais,4.0
1728711,Jingmin Chen,1.88
1728712,Boyang Li,4.45
1728955,Ching-Yun Chang,2.5
1729041,John Canny,2.57
