researcher_id,first_name,last_name
~Mobashir_Sadat1,Mobashir,Sadat
~Cornelia_Caragea1,Cornelia,Caragea
~Jiongxiao_Wang1,Jiongxiao,Wang
~Junlin_Wu1,Junlin,Wu
~Muhao_Chen1,Muhao,Chen
~Yevgeniy_Vorobeychik1,Yevgeniy,Vorobeychik
~chaowei_xiao1,Chaowei,Xiao
~Kai_Nylund1,Kai,Nylund
~Suchin_Gururangan1,Suchin,Gururangan
~Noah_Smith1,Noah,Smith
~Howard_Yen1,Howard,Yen
~Tianyu_Gao1,Tianyu,Gao
~Danqi_Chen1,Danqi,Chen
~Yao_Yao1,Yao,Yao
~Zuchao_Li1,Zuchao,Li
~hai_zhao1,Hai,Zhao
~Tao_Feng1,Tao,Feng
~Lizhen_Qu1,Lizhen,Qu
~Zhuang_Li1,Zhuang,Li
,Haolan,Zhan
~Yuncheng_Hua1,Yuncheng,Hua
,Reza,Haf
~Xiang_Hu1,Xiang,Hu
